Plot,Ring,CO2Treatment,Ntreatment,Both trts,Water Treatment,Water trt,Temp Treatment,Temp trt,CountOfSpecies,CountOfGroup,Experiment,monospecies,Monogroup,AchilleaMillefolium(presence),AgropyronRepens(presence),AmorphaCanescens(presence),AndropogonGerardi(presence),AnemoneCylindrica(presence),AsclepiasTuberosa(presence),BoutelouaGracilis(presence),BromusInermis(presence),KoeleriaCristata(presence),LespedezaCapitata(presence),LupinusPerennis(presence),PetalostemumVillosum(presence,PoaPratensis(presence),SchizachyriumScoparium(presen,SolidagoRigida(presence),SorghastrumNutans(presence),C-3(presence),C-4(presence),Forb(presence),Legume(presence)
7,1,EC,AN,"EC, AN",H2Oneg,1,HTamb,1,9,4,M,,,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
11,1,EC,EN,"EC, EN",H2Oamb,1,HTelv,1,9,4,M,,,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
17,1,EC,AN,"EC, AN",H2Oneg,1,HTelv,1,9,4,M,,,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1
21,1,EC,EN,"EC, EN",H2Oamb,1,HTamb,1,9,4,M,,,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1
26,1,EC,AN,"EC, AN",H2Oamb,1,HTamb,1,9,4,M,,,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1
34,1,EC,EN,"EC, EN",H2Oneg,1,HTelv,1,9,4,M,,,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1
48,1,EC,AN,"EC, AN",H2Oamb,1,HTelv,1,9,4,M,,,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1
50,1,EC,EN,"EC, EN",H2Oneg,1,HTamb,1,9,4,M,,,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1
66,2,AC,EN,"AC, EN",H2Oneg,1,HTamb,1,9,4,M,,,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
84,2,AC,EN,"AC, EN",H2Oamb,1,HTelv,1,9,4,M,,,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
87,2,AC,AN,"AC, AN",H2Oneg,1,HTamb,1,9,4,M,,,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
92,2,AC,AN,"AC, AN",H2Oneg,1,HTelv,1,9,4,M,,,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1
97,2,AC,EN,"AC, EN",H2Oamb,,HTamb,1,9,4,M,,,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1
106,2,AC,AN,"AC, AN",H2Oamb,1,HTamb,1,9,4,M,,,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
117,2,AC,EN,"AC, EN",H2Oneg,1,HTelv,1,9,3,M,,,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0
119,2,AC,AN,"AC, AN",H2Oamb,1,HTelv,1,9,4,M,,,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1
128,3,EC,AN,"EC, AN",H2Oamb,1,HTelv,1,9,4,M,,,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1
131,3,EC,AN,"EC, AN",H2Oneg,1,HTamb,1,9,4,M,,,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1
133,3,EC,AN,"EC, AN",H2Oamb,1,HTamb,1,9,4,M,,,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
149,3,EC,EN,"EC, EN",H2Oneg,1,HTelv,1,9,4,M,,,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
165,3,EC,EN,"EC, EN",H2Oneg,1,HTamb,1,9,3,M,,,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1
166,3,EC,EN,"EC, EN",H2Oamb,1,HTelv,1,9,4,M,,,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1
171,3,EC,EN,"EC, EN",H2Oamb,1,HTamb,1,9,4,M,,,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
177,3,EC,AN,"EC, AN",H2Oneg,1,HTelv,1,9,4,M,,,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1
185,4,AC,EN,"AC, EN",H2Oneg,1,HTamb,1,9,4,M,,,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1
186,4,AC,EN,"AC, EN",H2Oamb,1,HTelv,1,9,4,M,,,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1
224,4,AC,EN,"AC, EN",H2Oneg,1,HTelv,1,9,4,M,,,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1
226,4,AC,AN,"AC, AN",,,HTelv,1,9,4,M,,,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1
230,4,AC,AN,"AC, AN",H2Oneg,1,HTamb,1,9,4,M,,,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
232,4,AC,EN,"AC, EN",H2Oamb,1,HTamb,1,9,4,M,,,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1
233,4,AC,AN,"AC, AN",H2Oamb,1,HTamb,1,9,4,M,,,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1
243,4,AC,AN,"AC, AN",H2Oneg,1,HTelv,1,9,3,M,,,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1
245,5,EC,EN,"EC, EN",H2Oneg,1,HTamb,1,9,4,M,,,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1
264,5,EC,AN,"EC, AN",H2Oneg,1,HTamb,1,9,4,M,,,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1
274,5,EC,AN,"EC, AN",H2Oamb,1,HTelv,1,9,3,M,,,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1
278,5,EC,AN,"EC, AN",H2Oneg,1,HTelv,1,9,4,M,,,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1
280,5,EC,EN,"EC, EN",H2Oamb,1,HTelv,1,9,4,M,,,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1
282,5,EC,EN,"EC, EN",H2Oamb,1,HTamb,1,9,4,M,,,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1
293,5,EC,EN,"EC, EN",H2Oneg,1,HTelv,1,9,4,M,,,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1
299,5,EC,AN,"EC, AN",H2Oamb,1,HTamb,1,9,4,M,,,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1
308,6,AC,AN,"AC, AN",H2Oneg,1,HTelv,1,9,4,M,,,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1
320,6,AC,AN,"AC, AN",H2Oamb,1,HTelv,1,9,4,M,,,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1
324,6,AC,EN,"AC, EN",H2Oamb,1,HTelv,1,9,4,M,,,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
341,6,AC,EN,"AC, EN",H2Oneg,1,HTamb,1,9,4,M,,,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
356,6,AC,AN,"AC, AN",H2Oneg,1,HTamb,1,9,4,M,,,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
357,6,AC,EN,"AC, EN",H2Oamb,1,HTamb,1,9,4,M,,,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1
360,6,AC,EN,"AC, EN",H2Oneg,1,HTelv,1,9,4,M,,,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1
361,6,AC,AN,"AC, AN",H2Oamb,1,HTamb,1,9,4,M,,,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1
